tau=0.25
t=0 	x=0.1 	r_E=0.1 	Err=0
t=48.5 	r=3.93122 	r_E=3.9304 	Err=0.0105868
t=48.75 	r=3.94133 	r_E=3.94051 	Err=0.0105868
t=49 	r=3.95141 	r_E=3.95059 	Err=0.0105868
t=49.25 	r=3.96147 	r_E=3.96065 	Err=0.0105868
t=49.5 	r=3.9715 	r_E=3.97068 	Err=0.0105868
t=49.75 	r=3.98151 	r_E=3.98069 	Err=0.0105868
t=50 	r=3.99149 	r_E=3.99068 	Err=0.0105868
t=50.25 	r=4.00144 	r_E=4.00063 	Err=0.0105868
t=50.5 	r=4.01137 	r_E=4.01057 	Err=0.0105868
t=50.75 	r=4.02128 	r_E=4.02048 	Err=0.0105868
t=51 	r=4.03116 	r_E=4.03036 	Err=0.0105868
t=51.25 	r=4.04102 	r_E=4.04022 	Err=0.0105868
t=51.5 	r=4.05086 	r_E=4.05006 	Err=0.0105868
t=51.75 	r=4.06067 	r_E=4.05987 	Err=0.0105868
t=52 	r=4.07045 	r_E=4.06966 	Err=0.0105868
t=52.25 	r=4.08022 	r_E=4.07942 	Err=0.0105868
t=52.5 	r=4.08996 	r_E=4.08916 	Err=0.0105868
t=52.75 	r=4.09967 	r_E=4.09888 	Err=0.0105868
t=53 	r=4.10937 	r_E=4.10858 	Err=0.0105868
t=53.25 	r=4.11904 	r_E=4.11825 	Err=0.0105868
t=53.5 	r=4.12869 	r_E=4.1279 	Err=0.0105868
t=53.75 	r=4.13831 	r_E=4.13753 	Err=0.0105868
t=54 	r=4.14792 	r_E=4.14714 	Err=0.0105868
t=54.25 	r=4.1575 	r_E=4.15672 	Err=0.0105868
t=54.5 	r=4.16706 	r_E=4.16628 	Err=0.0105868
t=54.75 	r=4.17659 	r_E=4.17582 	Err=0.0105868
t=55 	r=4.18611 	r_E=4.18534 	Err=0.0105868
t=55.25 	r=4.1956 	r_E=4.19483 	Err=0.0105868
t=55.5 	r=4.20508 	r_E=4.20431 	Err=0.0105868
t=55.75 	r=4.21453 	r_E=4.21376 	Err=0.0105868
t=56 	r=4.22396 	r_E=4.22319 	Err=0.0105868
t=56.25 	r=4.23337 	r_E=4.2326 	Err=0.0105868
t=56.5 	r=4.24276 	r_E=4.24199 	Err=0.0105868
t=56.75 	r=4.25212 	r_E=4.25136 	Err=0.0105868
t=57 	r=4.26147 	r_E=4.26071 	Err=0.0105868
t=57.25 	r=4.2708 	r_E=4.27004 	Err=0.0105868
t=57.5 	r=4.2801 	r_E=4.27935 	Err=0.0105868
t=57.75 	r=4.28939 	r_E=4.28864 	Err=0.0105868
t=58 	r=4.29866 	r_E=4.2979 	Err=0.0105868
t=58.25 	r=4.3079 	r_E=4.30715 	Err=0.0105868
t=58.5 	r=4.31713 	r_E=4.31638 	Err=0.0105868
t=58.75 	r=4.32634 	r_E=4.32559 	Err=0.0105868
t=59 	r=4.33552 	r_E=4.33478 	Err=0.0105868
t=59.25 	r=4.34469 	r_E=4.34395 	Err=0.0105868
t=59.5 	r=4.35384 	r_E=4.3531 	Err=0.0105868
t=59.75 	r=4.36297 	r_E=4.36223 	Err=0.0105868
t=60 	r=4.37208 	r_E=4.37134 	Err=0.0105868
t=60.25 	r=4.38117 	r_E=4.38043 	Err=0.0105868
t=60.5 	r=4.39024 	r_E=4.3895 	Err=0.0105868
t=60.75 	r=4.3993 	r_E=4.39856 	Err=0.0105868
t=61 	r=4.40833 	r_E=4.4076 	Err=0.0105868
t=61.25 	r=4.41735 	r_E=4.41661 	Err=0.0105868
t=61.5 	r=4.42635 	r_E=4.42561 	Err=0.0105868
t=61.75 	r=4.43533 	r_E=4.4346 	Err=0.0105868
t=62 	r=4.44429 	r_E=4.44356 	Err=0.0105868
t=62.25 	r=4.45323 	r_E=4.4525 	Err=0.0105868
t=62.5 	r=4.46216 	r_E=4.46143 	Err=0.0105868
t=62.75 	r=4.47106 	r_E=4.47034 	Err=0.0105868
t=63 	r=4.47995 	r_E=4.47923 	Err=0.0105868
t=63.25 	r=4.48883 	r_E=4.48811 	Err=0.0105868
t=63.5 	r=4.49768 	r_E=4.49696 	Err=0.0105868
t=63.75 	r=4.50652 	r_E=4.5058 	Err=0.0105868
t=64 	r=4.51534 	r_E=4.51462 	Err=0.0105868
t=64.25 	r=4.52414 	r_E=4.52343 	Err=0.0105868
t=64.5 	r=4.53293 	r_E=4.53222 	Err=0.0105868
t=64.75 	r=4.5417 	r_E=4.54099 	Err=0.0105868
t=65 	r=4.55045 	r_E=4.54974 	Err=0.0105868
t=65.25 	r=4.55919 	r_E=4.55848 	Err=0.0105868
