tau=0.5
t=0 	r=0.1 	x_E=0.1 	Err=0
t=144 	r=6.82961 	r_E=6.77101 	Err=0.48449
t=144.5 	r=6.84126 	r_E=6.78276 	Err=0.48449
t=145 	r=6.85289 	r_E=6.79448 	Err=0.48449
t=145.5 	r=6.8645 	r_E=6.80618 	Err=0.48449
t=146 	r=6.8761 	r_E=6.81786 	Err=0.48449
t=146.5 	r=6.88767 	r_E=6.82952 	Err=0.48449
t=147 	r=6.89922 	r_E=6.84117 	Err=0.48449
t=147.5 	r=6.91076 	r_E=6.85279 	Err=0.48449
t=148 	r=6.92227 	r_E=6.86439 	Err=0.48449
t=148.5 	r=6.93377 	r_E=6.87597 	Err=0.48449
t=149 	r=6.94525 	r_E=6.88754 	Err=0.48449
t=149.5 	r=6.9567 	r_E=6.89908 	Err=0.48449
t=150 	r=6.96814 	r_E=6.91061 	Err=0.48449
t=150.5 	r=6.97956 	r_E=6.92211 	Err=0.48449
t=151 	r=6.99096 	r_E=6.9336 	Err=0.48449
t=151.5 	r=7.00235 	r_E=6.94507 	Err=0.48449
t=152 	r=7.01371 	r_E=6.95652 	Err=0.48449
t=152.5 	r=7.02506 	r_E=6.96795 	Err=0.48449
t=153 	r=7.03639 	r_E=6.97936 	Err=0.48449
t=153.5 	r=7.04769 	r_E=6.99075 	Err=0.48449
t=154 	r=7.05899 	r_E=7.00212 	Err=0.48449
t=154.5 	r=7.07026 	r_E=7.01348 	Err=0.48449
t=155 	r=7.08151 	r_E=7.02482 	Err=0.48449
t=155.5 	r=7.09275 	r_E=7.03613 	Err=0.48449
t=156 	r=7.10397 	r_E=7.04744 	Err=0.48449
t=156.5 	r=7.11517 	r_E=7.05872 	Err=0.48449
t=157 	r=7.12636 	r_E=7.06998 	Err=0.48449
t=157.5 	r=7.13752 	r_E=7.08123 	Err=0.48449
t=158 	r=7.14867 	r_E=7.09246 	Err=0.48449
t=158.5 	r=7.1598 	r_E=7.10367 	Err=0.48449
t=159 	r=7.17092 	r_E=7.11486 	Err=0.48449
t=159.5 	r=7.18202 	r_E=7.12604 	Err=0.48449
t=160 	r=7.1931 	r_E=7.1372 	Err=0.48449
t=160.5 	r=7.20416 	r_E=7.14834 	Err=0.48449
t=161 	r=7.21521 	r_E=7.15946 	Err=0.48449
t=161.5 	r=7.22624 	r_E=7.17057 	Err=0.48449
t=162 	r=7.23725 	r_E=7.18166 	Err=0.48449
t=162.5 	r=7.24824 	r_E=7.19273 	Err=0.48449
t=163 	r=7.25922 	r_E=7.20378 	Err=0.48449
t=163.5 	r=7.27018 	r_E=7.21482 	Err=0.48449
t=164 	r=7.28113 	r_E=7.22584 	Err=0.48449
t=164.5 	r=7.29206 	r_E=7.23685 	Err=0.48449
t=165 	r=7.30297 	r_E=7.24784 	Err=0.48449
t=165.5 	r=7.31387 	r_E=7.25881 	Err=0.48449
t=166 	r=7.32475 	r_E=7.26976 	Err=0.48449
t=166.5 	r=7.33561 	r_E=7.2807 	Err=0.48449
t=167 	r=7.34646 	r_E=7.29162 	Err=0.48449
t=167.5 	r=7.35729 	r_E=7.30253 	Err=0.48449
t=168 	r=7.36811 	r_E=7.31342 	Err=0.48449
t=168.5 	r=7.37891 	r_E=7.32429 	Err=0.48449
t=169 	r=7.38969 	r_E=7.33515 	Err=0.48449
t=169.5 	r=7.40046 	r_E=7.34599 	Err=0.48449
t=170 	r=7.41122 	r_E=7.35681 	Err=0.48449
t=170.5 	r=7.42195 	r_E=7.36762 	Err=0.48449
t=171 	r=7.43268 	r_E=7.37841 	Err=0.48449
t=171.5 	r=7.44338 	r_E=7.38919 	Err=0.48449
t=172 	r=7.45407 	r_E=7.39995 	Err=0.48449
t=172.5 	r=7.46475 	r_E=7.4107 	Err=0.48449
t=173 	r=7.47541 	r_E=7.42143 	Err=0.48449
t=173.5 	r=7.48605 	r_E=7.43214 	Err=0.48449
t=174 	r=7.49668 	r_E=7.44284 	Err=0.48449
t=174.5 	r=7.5073 	r_E=7.45353 	Err=0.48449
t=175 	r=7.5179 	r_E=7.4642 	Err=0.48449
t=175.5 	r=7.52848 	r_E=7.47485 	Err=0.48449
t=176 	r=7.53905 	r_E=7.48549 	Err=0.48449
t=176.5 	r=7.54961 	r_E=7.49611 	Err=0.48449
t=177 	r=7.56015 	r_E=7.50672 	Err=0.48449
t=177.5 	r=7.57068 	r_E=7.51731 	Err=0.48449
t=178 	r=7.58119 	r_E=7.52789 	Err=0.48449
t=178.5 	r=7.59168 	r_E=7.53846 	Err=0.48449
t=179 	r=7.60217 	r_E=7.549 	Err=0.48449
t=179.5 	r=7.61263 	r_E=7.55954 	Err=0.48449
t=180 	r=7.62309 	r_E=7.57006 	Err=0.48449
t=180.5 	r=7.63353 	r_E=7.58056 	Err=0.48449
t=181 	r=7.64395 	r_E=7.59105 	Err=0.48449
t=181.5 	r=7.65436 	r_E=7.60153 	Err=0.48449
t=182 	r=7.66476 	r_E=7.61199 	Err=0.48449
t=182.5 	r=7.67514 	r_E=7.62244 	Err=0.48449
t=183 	r=7.68551 	r_E=7.63287 	Err=0.48449
t=183.5 	r=7.69586 	r_E=7.64329 	Err=0.48449
t=184 	r=7.7062 	r_E=7.65369 	Err=0.48449
t=184.5 	r=7.71653 	r_E=7.66408 	Err=0.48449
t=185 	r=7.72684 	r_E=7.67446 	Err=0.48449
t=185.5 	r=7.73714 	r_E=7.68482 	Err=0.48449
t=186 	r=7.74743 	r_E=7.69517 	Err=0.48449
t=186.5 	r=7.7577 	r_E=7.7055 	Err=0.48449
t=187 	r=7.76796 	r_E=7.71582 	Err=0.48449
t=187.5 	r=7.7782 	r_E=7.72613 	Err=0.48449
t=188 	r=7.78843 	r_E=7.73642 	Err=0.48449
t=188.5 	r=7.79865 	r_E=7.7467 	Err=0.48449
t=189 	r=7.80885 	r_E=7.75697 	Err=0.48449
t=189.5 	r=7.81904 	r_E=7.76722 	Err=0.48449
t=190 	r=7.82922 	r_E=7.77746 	Err=0.48449
t=190.5 	r=7.83938 	r_E=7.78768 	Err=0.48449
t=191 	r=7.84954 	r_E=7.7979 	Err=0.48449
t=191.5 	r=7.85967 	r_E=7.80809 	Err=0.48449
t=192 	r=7.8698 	r_E=7.81828 	Err=0.48449
t=192.5 	r=7.87991 	r_E=7.82845 	Err=0.48449
t=193 	r=7.89001 	r_E=7.83861 	Err=0.48449
t=193.5 	r=7.90009 	r_E=7.84876 	Err=0.48449
t=194 	r=7.91017 	r_E=7.85889 	Err=0.48449
t=194.5 	r=7.92023 	r_E=7.86901 	Err=0.48449
t=195 	r=7.93027 	r_E=7.87911 	Err=0.48449
t=195.5 	r=7.94031 	r_E=7.88921 	Err=0.48449
t=196 	r=7.95033 	r_E=7.89929 	Err=0.48449
t=196.5 	r=7.96034 	r_E=7.90935 	Err=0.48449
t=197 	r=7.97034 	r_E=7.91941 	Err=0.48449
t=197.5 	r=7.98032 	r_E=7.92945 	Err=0.48449
t=198 	r=7.99029 	r_E=7.93948 	Err=0.48449
t=198.5 	r=8.00025 	r_E=7.9495 	Err=0.48449
t=199 	r=8.0102 	r_E=7.9595 	Err=0.48449
t=199.5 	r=8.02013 	r_E=7.96949 	Err=0.48449
t=200 	r=8.03006 	r_E=7.97947 	Err=0.48449
t=200.5 	r=8.03997 	r_E=7.98944 	Err=0.48449
t=201 	r=8.04986 	r_E=7.99939 	Err=0.48449
t=201.5 	r=8.05975 	r_E=8.00933 	Err=0.48449
t=202 	r=8.06962 	r_E=8.01926 	Err=0.48449
t=202.5 	r=8.07948 	r_E=8.02918 	Err=0.48449
t=203 	r=8.08933 	r_E=8.03909 	Err=0.48449
t=203.5 	r=8.09917 	r_E=8.04898 	Err=0.48449
t=204 	r=8.109 	r_E=8.05886 	Err=0.48449
