tau=0.5
t=0 	r=1 	x_E=1 	Err=0
t=116 	r=6.17012 	r_E=6.15824 	Err=0.0149418
t=116.5 	r=6.18301 	r_E=6.17115 	Err=0.0149418
t=117 	r=6.19589 	r_E=6.18403 	Err=0.0149418
t=117.5 	r=6.20873 	r_E=6.19689 	Err=0.0149418
t=118 	r=6.22155 	r_E=6.20972 	Err=0.0149418
t=118.5 	r=6.23434 	r_E=6.22252 	Err=0.0149418
t=119 	r=6.2471 	r_E=6.23529 	Err=0.0149418
t=119.5 	r=6.25984 	r_E=6.24804 	Err=0.0149418
t=120 	r=6.27255 	r_E=6.26077 	Err=0.0149418
t=120.5 	r=6.28524 	r_E=6.27346 	Err=0.0149418
t=121 	r=6.2979 	r_E=6.28614 	Err=0.0149418
t=121.5 	r=6.31053 	r_E=6.29878 	Err=0.0149418
t=122 	r=6.32314 	r_E=6.3114 	Err=0.0149418
t=122.5 	r=6.33573 	r_E=6.324 	Err=0.0149418
t=123 	r=6.34829 	r_E=6.33657 	Err=0.0149418
t=123.5 	r=6.36083 	r_E=6.34912 	Err=0.0149418
t=124 	r=6.37334 	r_E=6.36164 	Err=0.0149418
t=124.5 	r=6.38582 	r_E=6.37413 	Err=0.0149418
t=125 	r=6.39828 	r_E=6.38661 	Err=0.0149418
t=125.5 	r=6.41072 	r_E=6.39905 	Err=0.0149418
t=126 	r=6.42313 	r_E=6.41148 	Err=0.0149418
t=126.5 	r=6.43552 	r_E=6.42388 	Err=0.0149418
t=127 	r=6.44789 	r_E=6.43625 	Err=0.0149418
t=127.5 	r=6.46023 	r_E=6.44861 	Err=0.0149418
t=128 	r=6.47255 	r_E=6.46093 	Err=0.0149418
t=128.5 	r=6.48484 	r_E=6.47324 	Err=0.0149418
t=129 	r=6.49711 	r_E=6.48552 	Err=0.0149418
t=129.5 	r=6.50936 	r_E=6.49778 	Err=0.0149418
t=130 	r=6.52159 	r_E=6.51001 	Err=0.0149418
t=130.5 	r=6.53379 	r_E=6.52223 	Err=0.0149418
t=131 	r=6.54597 	r_E=6.53442 	Err=0.0149418
t=131.5 	r=6.55813 	r_E=6.54658 	Err=0.0149418
t=132 	r=6.57026 	r_E=6.55873 	Err=0.0149418
t=132.5 	r=6.58237 	r_E=6.57085 	Err=0.0149418
t=133 	r=6.59446 	r_E=6.58295 	Err=0.0149418
t=133.5 	r=6.60653 	r_E=6.59503 	Err=0.0149418
t=134 	r=6.61857 	r_E=6.60708 	Err=0.0149418
t=134.5 	r=6.6306 	r_E=6.61911 	Err=0.0149418
t=135 	r=6.6426 	r_E=6.63113 	Err=0.0149418
t=135.5 	r=6.65458 	r_E=6.64312 	Err=0.0149418
t=136 	r=6.66654 	r_E=6.65508 	Err=0.0149418
t=136.5 	r=6.67847 	r_E=6.66703 	Err=0.0149418
t=137 	r=6.69039 	r_E=6.67896 	Err=0.0149418
t=137.5 	r=6.70228 	r_E=6.69086 	Err=0.0149418
t=138 	r=6.71416 	r_E=6.70274 	Err=0.0149418
t=138.5 	r=6.72601 	r_E=6.7146 	Err=0.0149418
t=139 	r=6.73784 	r_E=6.72645 	Err=0.0149418
t=139.5 	r=6.74965 	r_E=6.73827 	Err=0.0149418
t=140 	r=6.76144 	r_E=6.75007 	Err=0.0149418
t=140.5 	r=6.77321 	r_E=6.76184 	Err=0.0149418
t=141 	r=6.78496 	r_E=6.7736 	Err=0.0149418
t=141.5 	r=6.79669 	r_E=6.78534 	Err=0.0149418
t=142 	r=6.8084 	r_E=6.79706 	Err=0.0149418
t=142.5 	r=6.82008 	r_E=6.80876 	Err=0.0149418
t=143 	r=6.83175 	r_E=6.82043 	Err=0.0149418
t=143.5 	r=6.8434 	r_E=6.83209 	Err=0.0149418
t=144 	r=6.85503 	r_E=6.84373 	Err=0.0149418
t=144.5 	r=6.86664 	r_E=6.85535 	Err=0.0149418
t=145 	r=6.87823 	r_E=6.86694 	Err=0.0149418
t=145.5 	r=6.8898 	r_E=6.87852 	Err=0.0149418
t=146 	r=6.90135 	r_E=6.89008 	Err=0.0149418
t=146.5 	r=6.91288 	r_E=6.90162 	Err=0.0149418
t=147 	r=6.92439 	r_E=6.91314 	Err=0.0149418
t=147.5 	r=6.93588 	r_E=6.92464 	Err=0.0149418
t=148 	r=6.94735 	r_E=6.93613 	Err=0.0149418
t=148.5 	r=6.95881 	r_E=6.94759 	Err=0.0149418
t=149 	r=6.97024 	r_E=6.95904 	Err=0.0149418
t=149.5 	r=6.98166 	r_E=6.97046 	Err=0.0149418
t=150 	r=6.99306 	r_E=6.98187 	Err=0.0149418
t=150.5 	r=7.00444 	r_E=6.99326 	Err=0.0149418
t=151 	r=7.0158 	r_E=7.00463 	Err=0.0149418
t=151.5 	r=7.02714 	r_E=7.01598 	Err=0.0149418
t=152 	r=7.03847 	r_E=7.02731 	Err=0.0149418
t=152.5 	r=7.04977 	r_E=7.03863 	Err=0.0149418
t=153 	r=7.06106 	r_E=7.04992 	Err=0.0149418
